front,back
Le savon est compose´ de .. et de ..,The soap is composed of .. and ..
on fait chauffer/cuire,we heat/cook
on laisse reposer,let's rest
on me´lange,we blend
enle`ve,remove/take off
ajoute,add
de´coupe,cut/divide
le ménage est chauffe´,the household is heated
la pâte est levée,the dough is lifted(bô?t dc nâng lên)
le savon est mis dans des bacs,the soap is put in bins
cette pâte est lave´e pendant/durant 3 ou 4 hours,this paste is washed during / during 3 or 4 hours
on fait cuire la pâte plusieurs heures,the dough is cooked for several hours
la chronologie,the timeline
"D'abord, on me´lange les huiles ve´ge´tales","First, we mix the vegetable oils"
"Ensuite, ce mélange est chauffé","then, the mixture is heated"
"après une journée, on enle`ve le liquide","after a day, we remove the liquid"
"plus tard, cette pate est lavee","later, this dough is lifted"
mettez-les dans l'ordre dans le tableau,put them in order in the table
les e´tapes de la fabrication,the stages of manufacture(ca´c công doa?n sa?n xuâ´t)
cube,cube
couteau,knife
durcir (v),harden (v)
"encore,","furthermore,"
fabriquer (v),manufacture(v)
fluide(adj),fluid(lo?ng)
me´lange (v),mix
obtenir(v),obtain
refroidir(v),cool(la`m ma´t)
sale´ (adj),salty
solide (adj),solide
soude,soda
terminer,terminate
un peu,a little
"ve´ge´tale (n, adj)",vegetable
"puis, le savon est mis dans les bacs","then, the soap is put in the bins"
"quand il est solide, on le de´coupe enfin avec un couteau","when it is solid, it is finally cut with a knife"
laver,wash
remplir,fill
fermer,close
sertir,crimping (uô´n)
stériliser,sterilize(khu? tru`ng)
rédiger un fiche pour expliquer...,write a sheet to explain ...
