front,back
Clément “a bon caractère”,good character
"Au contraire, Laurent “a mauvais caractère”",bad character
Anne “est très sympathique”,nice
"Raymond, au contraire, est vraiment “antipathique”",not nice
tout le monde le “déteste”,hate
Benjamin est réservé,reserve (dè d?t)
“c’est quelqu’un de timide”,shy
"Benoit, au contraire, parle beaucoup : il est “bavard”",talktive
il est un homme “ nerveux”,nerveous
optimiste. Il est optimiste,optimist
il est quelqu’un de pessimiste,he is someone who pessimistic
il est une enfant “sérieuse “,"serious (nghiêm túc, có k? lu?t)"
Michiel “ a le sens de l’humour “,sense of humour
Ces expressions sont “imprécises”,"imprecise, unclear"
ces expressions sont très “courantes” dans la langue orale,common
il est merveilleux,marveilous
il est “extraordinaire”,extraordinary
elle est “choutte”,kind
cette fille est “horrible”,horrible
c’est un homme intelligent et “travailleur”,hard working
il est “chaleureux” et sociable,warm
il est très “tolérant”,tolerant(khoan dung)
il est aussi “patient”,patient
vous pensez qu’il est “honnête et franc”,honest and frank
il dit toujours la “vérité”,verity(s? th?t)
Ray est le “contraire” de Benard,contrary
stupid,je le trouve plutôt “bête”
il est “paresseux”,lazy
assez “froid” et “intolérant”,cold and intolerant
je crois qu’il est assez malhonnête,dishonest
beaucoup de gens le trouvent aussi “hypocrite”,hypocritical(d?o d?c gi?)
il est “généreux”,generous(hào hi?p)
il est adorable,adorable
doux. Noun : la douceur. il est “doux”,sweet
égoïste. Noun : l’égoïsme,ích k?
il est vraiment “méchant”. Noun : la méchanceté,mean
agressif. Noun : l’agressivité,aggressive
impatient. Noun : l’impatience,inpatient
prétentieux. Noun : la prétention,t? ph?
arrogant. Noun : l’arrogance,arrogant
supériorité naturelle,natural superiority
intelligent. Noun : l’intelligence,intelligent
chaleureux. Noun : la chaleur humaine,warm
sociable. Noun : la sociabilité,sociable
tolérant. Noun : la tolérance,tolerant
patient. Noun : la patience,patient
honnête. Noun : l’honnêteté,honest
franc. Noun : la franchise,frank (th?ng th?n)
bête. Noun : la bêtise,stupid
parasseux. Noun : la paresse,lazy
froid. Noun : la froideur,cool
intolérant. Noun : l’intolérance,intolerant
malhonnête. Noun : la malhonnêteté,dishonest
hypocrite. Noun : l’hypocrisie,hypocritical (d?o d?c gi?)
généreux. Noun : la générosité,generous
gentil. Noun : gentillesse,gentil
sensible. Noun : la sensibilité,sensitive
bon. Noun : la bonté,"good, nice"
cultivé. Noun : la culture,"cultivated, educated"
modeste. Noun : la modestie. Ex : il reste très modeste sur ses succès,"modest, humble"
comportement. J'ai un comportement de chef.,behavior
artiste,artist
autoritaire,"authoritarian, bossy(d?c tài)"
dynamique,dynamic(nang d?ng)
optimiste,optimistic
qualité(Il a beaucoup de qualité),ph?m ch?t
adaptative(adj),adaptive(d? thích ?ng)
content,happy
élégant,elegant
intellegent,intellegent
agréable,pleasant(thú v?)
sérieux,serious
compétent,"competent(having the necessary ability, knowledge, or skill to do something successfully)"
créatif,creative
mignon,cute
timide,shy
originale,original
ancien => ancienne,ancient
fou => folle,crazy
frais => fraiche,fresh
blanc => blanche,white
dangereux => dangereuse,dangerous
génial = > géniale,"great, brilliant"
intéressant,interesting
fatigué,tired
longue,long
gentil,kind
Il est amoureux,He is in love
jaloux,jealous
Elle est sentimental,tình c?m
régional. Un plat régional,regional .relating to or characteristic of a region.
prundent(adj). Il est plus prudent d'utiliser un antivol.,"careful, safe. It is safer to use a lock"
imprudence(n). Traverser la rue sans regarder est une imprudence.,"b?t c?n, li?u linh. Bang qua du?ng mà không nhìn là li?u linh."
négligence(n),c?u th?
inattention(n),vô ý
maladresse(n),v?ng v?
affamés(adj). Il est affamé.,starving. He is starving.
poli. tu es poli,polite
fou. Il est fou,crazy
mou. Ce garçon est trop mou : il n’arrive pas à agir,"Who lacks will, energy"
pure. Elle est pure.,pure
sourd. Tu es sourd,deaf
à nu. il est à nu,naked
"redoutable, formidable. Il est redoutable.","Who is to be feared, who is very strong. Great, wonderful."
saoul. ils étaient tous les deux saouls,drunk. they were both drunk
