front,back
le bureau,office
le salon,living room
les toilettes,toilet
la terrasse,terrace(sân thu?ng)
la buanderie,laundry room
la salle à manger,dining room
la chambre,bed room
le jardin,garden
le garage,garage
la salle de bains,bathroom
la cave,cave(h?m ru?u)
les pièce,room
prépare à manger,cook
je plante des fleurs,plant flowers
je gare la voiture,I park the car
je range le vin,c?t ru?u
je lave mon linge,I wash my clothes
je fume une cigarette,I smoke a cigarette
je fais mes boisoins,"I'm doing my needs(tôi làm nh?ng vi?c cá nhân, ví d? nhu di toa lét)"
salle de leture,phòng d?c sách
la piscine,swimming pool
la réserve,nhà kho
le couloir,the corridor
la cuisine,phòng b?p
la balcon,the balcony
"t?t c? các phòng d?u d?ng sau ""salle"", riêng phòng ng? d?ng sau ""chambre""",quy t?c
la porte,door
le fauteuil,armchair
