front,back
"Gabriel ""rencontre"" Mathilde chez des amis",Gabriel meets Mathilde at a friend's house
"Il ""tombe amoureux"" de Mathilde immédiatement",He falls in love with Mathilde immediately
Mathilde est seule,Mathilde is alone
"Il ""l’embrasse"", ils ""s’embrassent"".","He kisses her, they kiss each others"
"Ils commencent une ""relation""","They start a ""relationship"""
"Gabriel est célibataire,il vit ""seul"", mais  après quelques mois","Gabriel is single, he lives alone, but after a few months"
il accepte de vivre avec Mathilde,he agrees to live with Mathilde
Ils prennent un appartement ensemble.,They take an apartment together.
Ils sont amoureux ?,They are in love ?
c'est la passion,it's the passion
she and Andy décident de se marier,she and Andy decide to get married
Gabriel voudrait seulement un mariage civil,Gabriel would only like a civil wedding
