front,back
Quelle est la couleur de cette rope?,What is the color of this rope?
quelle est la coûte de cette robe ?,what is the cost of this dress?
quelle sont le trouve des ces lunettes ?,Where are these glasses?
quel sont la couleur des ces stylos?,what is the color of these pens?
la taille,size(clothing)
la pointure,size(giay)
Quelle est le prix de cette robe?,What is the price of this dress?
comment est-ce que tu trouve de pantalon ?,how do you find pants?
vous avez quelles couleur si vous plait ?,what color do you have?
cet hôtel il est comment?,How is this hotel?
un complet(un costume),ao comple
un tapblier,cái t?p d?
dessiner,design
un masque,kh?u trang
Quelle taille faites vous ? Je fais du 40,How tall are you ?
Ce pantalon coûte combien? Ce pantalon coûte 50 euros,How much for this pant? These pants cost 50 euros
ça fait combien?,h?t bao nhiêu ?
caisse,cashier
"acheter, revender","buy, sell"
garantir,guarantee
un short,quan soc
élégant(adj),elegant
payer,pay
montant de(Il est nécessaire de payer le montant de 471 euros),amount of (It is necessary to pay the amount of 471 euros)
choisir,choose
méthode de paiement,method of payment
modalité(modalité de paiement),modality(phuong th?c)
carte bancaire,credit card
ligne,online
"par + phuong ti?n thanh toán(par virement, par chèque, par numéraire)",tr? b?ng gì
par numéraire(Vous avez la possibilité de payer par numéraire),by cash(ti?n m?t)
la chaussette,sock
le short,shorts(qu?n sooc)
bonnet,cap
le pantalon,trousers
la casquette,cap
le blouson,jacket
des baskets,giày bóng r?
des tennis,gi?y tennis
la chemise,shirt
les lunettes,glasses
le manteau,coat
vous me conseillez quoi ?,What do you advice me?
que désirez vous ?,What do you want?
ce sont des sacs de créateurs,these are designed bags
est-ce qu'ils sont chers?,are they expensive?
"je veux ""en cuir nature""","I want ""natural leather"""
y a-t-il un réduction?,is there a reduction?
synthétique(adj),synthetic(s?i t?ng h?p)
"la  portefeuille, le porte-monnaie",wallet
le pantalon,trousers
"ils coûtent ""au mois"" 200 euros",they cost at least 200 euros
article(Désirez-vous un article plus petit?),item
ce sont des sacs de luxe,they are luxury bags
Je prends le portefeuille en cuir noire,I take the black leather wallet
valuer,value
il porte quoi ?,anh ?y m?c gì ?
vétêment,clothes
Combien est-ce que ça coute ?,How much is it ?
"voulez-vous le ""sentir"" ?","Do you want to ""smell"" it ?"
ça sent bon!,It smells good!
C'est cher mais je l'achète,It's expensive but I buy it
l'amour n'a pas de prix,Love have no price
Quelle taille faites vous ? Je fais du 40,How tall are you ?
caisse,cashier
écharpes,scarf
le tee-shirt,T-shirt
le jean,jean
le peignoir,bathrobe(a´o choa`ng ta´m)
le maillot de corps,body suit
le pull-over,a´o len
le sweat-shirt,sweatshirt
le gilet,vest
le tablier,t?p d?
le slip,quâ`n si?p
le mailot de bain,swimsuit
la ceinture,belt
le bouton,nu´t a´o
la chaussette,tâ´t
le gant,gang tay
la bottine,u?ng
la sandale,the sandal
un veste,vest
une caravate,cà v?t
un chemisier,áo cánh
tailleur,th? may
un imperméable,a raincoat
jupe,skirt
caleçon,underpant(qu?n lót)
louer. Vous avez louer des skis?,rent
garder. Vous vouliez garder le vélo tout le week-end?,keep.
foulard,scarf
pull rayé,striped sweater(áo len s?c)
Un coffret. Un coffret de disques,a box. A set of records
genre. genre de musique,kind
un montre,a watch
un foulard,a scarf
porte-documents,briefcase
une portefeuille,wallet
les salons de beaute´,beauty salons
"voilà un tre`s jolie ""veste en laine""",a´o khoa´c len
je vais prendre le mode`le pour homme,I will take the model for men
tarifs. Ex : tarifs : 27.5 euros la nuit ée,price
la poche,the pocket
un roller,giày tru?t
