front,back
pouvez-vous me dire dans quels pays sont vos principaux clients?,can you tell me in which countries are your main customers?
vous allez etre completement autonome dans vos missions,you will be completely autonomous(independent) in your missions
quels outils de travail disposent vos commerciaux ?,what work tools do your sales staff have?
Pour les de´placements ?,For travel ?
voiture de fonction,company car
"si je suis embauché, sur quel salaire je peux compter ?","if I am hired, on what salary can I count ?"
les primes,bonus
Combien de jours de conge´s paye´s dans l'anne´e?,How many days of paid vacation in the year?
vous avez droit a` cinq semaines le´gales,you are entitled to five legal weeks(b?n du?c hu?ng nam tu?n h?p pháp)
vous avez travaille´ a` l'e´tranger,you worked abroad
pendant trois mois,for /during 3 months
faire mon stage,do my internship
responsable commercial,sales manager
nous organisons des ventes promotionnelles,we organize promotional sales
j'e´tais tre`s souvent en contact avec la cliente`le,I was very often in contact with customers
Je suis responsable du de´veloppment de nouveaux marche´s,I am responsible for the development of new markets
je viens de conclure une affaire importante en Allemagne,I have just finished an important business in Germany
pourquoi voulez-vous quitter cette socie´te´ ?,Why do you want to leave this company ?
Je travaille chez Gatsby depuis quelques années déjà,I have been working at Gatsby for a few years already
je souhaite  e´voluer professionnellement,I wish to evolve professionally
c'est un nouveau de´fi,it's a new challenge
Votre profil nous inte´resse,Your profile interests us
Il passe un entretien d'embauche,He's having a job interview
réunion de travail,work meeting
"rencontrer, rencontrait a` cliente`le","meet, used to meet the client"
Il e´tait responsable des commandes,He was responsible for orders
La salaire est de 3000e par an,The salary is 3000e per year
Il y a des primes,There are bonuses
vous disposez  ...,you have ...
ordinateur portable,laptop
vous avez droit  = vous avez la possibilite´ + a` + noun/de + verb. Ex : Vous avez droit a` cinq semaines de conge´s paye´s/Vous avez la possibilite´ de prendre vos conge´s,You have right to ...
compter(v),count
objectif (n),object
outil (n),tool
poser une question,ask a question
financier avantages,financial benefits
mate´riels,materials
emploi actuel,current job
l'annonce,the announcement
un me´l,an email
promotionnel ventes,promotional sales
réaliser (v). Ex : pour resaliser ses objectifs professionnels,achieve
ressources,resources
depuis. Ex : Je travaille chez Gasbi depuis quelques anne´es de´ja`,since. I have been working at Gasbi for a few years already
parcours,career
l'entretien,interview
suivez,follow
"En 2002, Je suis alle´e a` Londres","In 2002, I went to London"
Il y a 4 ans,4 years ago
Quitter,quit
responsabilité,responsibility
les compétences,skills
existe-t-il un salaire minimum garanti ?,is there a guaranteed minimum wage?
quel est le salaire moyen d'un employé ?,what is the average salary of an employee?
un ouvrier,worker
un cadre,manager
infirmière,nurse
contremaître,overseer(gia´m thi?)
agent de maîtrise,agent control(gia´m sa´t viên)
le temps de travail,work time
temps plein,full-time
travailler à temps partiel,work part-time(30 hours)
travailler a` mi temps,work part-time(17 hours)
il y a 10 jours fe´rie´s,there are 10 holidays
fêtes nationales,National holidays
religieuse,religious
voir les feux d'artifice,see the fireworks
il y a des bals populaires,there are popular balls
Quel est le temps de travail le´gal ?,What is the legal working time?
avez-vous des conge´s paye´s ?,do you have paid holidays?
Combien de jours de vacances pouvez-vous prendre par an ?,How many days of vacation can you take per year?
quels sont les jours fe´rie´s dans votre pays?,what are the holidays in your country?
Poste base´ a` Nantes,Position based in Nantes
vous êtes autonome et dynamique,you are autonomous and dynamic
la vente,the sale
cosmétique a` l'export,cosmetic export
ne´gocier avec,negotiate with
adresser votre candidature,send your application
votre project professionnel,your professional project
vous avez re´ussi dans ...,you have succeeded in ...
pourquoi posez-vous votre candidature ?,why are you applying?
quels sont vos principaux de´fauts ?,what are your main faults?
quelles sont vos principales qualite´s  ?,what are your main qualities?
qu'est ce que vous attendez de ce nouveau poste ?,what do you expect from this new position?
être diplôme de + nom de l'e´cole,Tô´t nghiê?p truo`ng na`o
accueil,reception
re´daction,writting (skill)
"courant, bon niveau","excellent, good level (level of language)"
les se´jours a` l'e´tranger,stays abroad
se´jours touristique,tourist stays
linguistique (adj),linguistic
Responsable/pre´sident + de + club/society,responsible/president of
Pratique du/de la sport,choi môn thê? thao na`o
re´digez votre CV a` adresser a` ..,write your CV to send to ..
convoquer. Nous le convoquons en entretien,Call. We call him in interview
titre,title
situer de. Fillae situe´e en Europe,to locate in. Fillae located in Europe
baser a`. Poste base´ a` Toulouse,base in. Post based in Toulouse
Vous avez bon contact/des talents de + ...,You have talents of ...
vous avez de l' expe´rience .../ une expe´rience de ... ans ..,you have experience ... / an experience of ... years ..
Vous savez + parler ../comment/combien/pourquoi/ou`. Vous connaissez quelquechose/quelqu'n,You know + talk ../how/combian/why/where. You know something / someone
maîtrisez le/la/les ...,master at ...
filiale française,công ty con cu?a Pha´p
re´diger l'offre d'emploi a` paraître sur internet,write the job posting to appear on the internet
l'industrie alimentaire,food industry
produits laitiers,dairy products(sa?n phâ?m su~a)
animer une e´quipe de vendeurs,lead a team of salespeople
en moyenne. Un recruteur passe en moyenne 30 seconds pour lire un CV,on average. A recruiter spends an average of 30 seconds reading a resume
poste. poste de responsable commerciale,position. sales manager position
prospection client,Customer survey
re´alisation des propositions commerciales,realization of commercial proposals(Thu?c hiê?n ca´c dê` xuâ´t thuong ma?i)
société recrute,company recruits
manuscrite. letter de motivation manuscrite,handwritten(adj)
disponible,available
les tâches variées,various tasks
le suivi des dossier marketing,follow-up of marketing files
le profil du candidat,the profile of the candidate
le titre,the title
les fonctions,the functions
géographique(adj),geographical
baccalauréat,baccalaureate(high school)
suivi des commandes,order tracking
anciens élèves de Polytechnique,alumni of Polytechnique
les conseils,the advice
d'après ce modèle,according to this model
précise le poste souhaite,specify the desired position
signer,sign
indiquer en premier votre diplôme le plus ancien,indicate first your oldest diploma
indiquer en premier votre expérience la plus recente,first indicate your most recent experience
ecrire de grandes phrases,write big sentences
vous ne devez pas faire un CV manuscrit,you do not have to do a manuscript resume
parler de tous vos loisirs,talk about all your hobbies
e´le`ve,high(adj)
