front,back
Les voyages insolites,Unusual trips
cerf-volant,kite(di?u)
ville natale,hometown
"je adore ""le spectacle""",I love the show
"un endroit ""insolite""","unusual ""place"""
découvrir,discover
"Neko ""signifie"" chat en Japonais","Neko means ""cat"" in Japan"
Nous avons paricipé à la fête appelée Holi,We went to the party called Holi
l'ambiance,the atmosphere
"on a adoré ce moment de ""détente""","we loved this moment of ""relaxation"""
"ils se ""lancent"" de la poudre de couleurs","they are ""launching"" the powder of colors"
"C'est un tradition ""chaleureuse"" et ""joyeuse""","It's a ""warm"" and ""joyful"" tradition"
"la ville de hommes ""pressés"" et des salarymen","the city of ""hurried"" men and salarymen"
"une ""façon""(1) de manger ""inhabituelle""","an ""unusual""(2) ""way""(1) of eating"
"en France,on ""mange toujours assis""","in France, we ""always eat sitting"""
on prend notre temps,we take our times
"on parle ""même""(1) de ""nourriture""(2) ""pendant""(3) repas","we ""even""(1) talk about ""food""(2) ""during""(3) meals."
"on a ""mangé debout"" pour la première fois","we ""ate standing"" for the first time"
"Le service est très ""efficace"" et rapide","The service is very ""efficient"" and fast"
nouilles,noodles
un des plats typique du Japon,a typical dish of Japan
le coin,the corner
orateur,speaker
"C'est un ""espace"" pour le débat public","It's a ""space"" for public debate"
"des orateurs font leurs ""discours""","speakers make their ""speeches"""
"Il y a des ""spectateurs"" et des touristes qui écoutent et participent",There are spectators(khán gi?) and tourists who listen and participate
"C'est très ""impressionnant""","It is very ""impressive"""
"C'est un tradition ""oubliée"" d'Italie mais elle ""revient à la mode""","It's a ""forgotten"" Italian tradition but it's ""back to fashion"""
"un autre personne qui ""n'a pas les moyens de le faire.""","another person who ""can not afford to do it""."
"d'autre pays ""s'inspirent"" de cette tradition",other countries are inspired by this tradition
les produits,products
esprit de solidarité,spirit of solidarity(tinh th?n doàn k?t)
"vous pouvez utiliser un autre ""monnaie""","you can use another ""currency""(ti?n t?)"
C'est la fleur emblématique de Toulouse,It is the emblematic(thu?c v? tu?ng trung) flower of Toulouse
"je n'ai pas ""testé""","I have not ""tested"""
j'aime l'idée d'une économie juste et durable,"I like the idea of a just and ""durable"" economy"
Le vue. Le vue splendide,the view. the splendid view
pistes. pistes de ski,slope. ski slopes(d?c tru?t tuy?t)
décor(n),decor(trang trí)
un carnet,"10 tickets(bus, tram ..)"
composter (v),valider un ticket
"changer à.Vous devez changer à ""Chatele""","d?i(tàu, hu?ng)"
bain soleil,sunbathing
