front,back
Comment savent-ils ?,how do they know ?
òu est la mouche ?,where is the file?
Lequel a un chapeau ?,Which one has a hat ?
Que suis je ?,What am I ?
Pourquoi parle-t-elle ?,why is she talking ?
Qu'est ce ?,what is that ?
Qu'est- ce que c'est?,What is it?
ça te va ?,it suits you(nó có h?p vs b?n không) ?
Comment est-ce que tu trouves le français ?,Demander l'opinion
qu'en est-il de. Ex : Qu'en est-il de votre garant ?,what about. Ex : what about your garantor?
pour quelle durée?,for how long?
comment faites-vous?,how do you do it?
combien de,how much/many/long(combien de temps?)
Are you comming?,Vous venez?
What is used for?,ça sert à quoi?
Are the animals Spanish ?,Les animaux sont-ils espagnols?
Elle tient quoi ?,What is she holding?
Vous partez déjà ?,"Are you leaving ""already""?"
What does that mean?,Qu'est ce que ça signifie?
Et si elles tombent du toit?,What if they fall off the roof?
are you ready?,Es-tu prêt ?
Qu'est ce que tu as?,What's the matter with you?
Qu'est-ce qu'il s'est amusé ici?,what happened here?
Comment est-ce arrivé?,How did that happen?
nous parlions de quoi hier?,what were we talking about yesterday?
où allaient-ils?,where were they going?
Pourquoi disais-je cela?,why was I saying that?
À quoi ça sert?,What is it used for?
As tu une esponge?,Do you have a sponge(mi?ng g?c) ?
ça va? = tu vas bien? = Vous allez bien?,b?n có kh?e không?
Qui est-ce ?,who is this?
vous comprenez?,Do you understand?
Vous êtes né(e) quand? = Quelle est ta date de naissance?,what is your birthday?
Pouvez - vous nous aider?,Can you help us?
