front,back
La température,The temperature
Il fait combien = Quelle est la température ?,How is the weather?
il fait moins 25 o C,It is -25 o C
les nouges,the clouds
le ciel est couvert,the sky was covered
le ciel est nuageux,the sky is cloudy
Il fait mauvais,the weather is bad
Il pleut à torrent =  il pleut très fort,Mua r?t m?nh
un parapluie,umbrella
la pluie,the rain
"le ""vent""(1) souffle(2) très fort","the ""wind""(1) blows(2) very strong"
"On entend le ""tonnerre""","I hear the ""thunder"""
le vent,the wind
le pluie,the rain
l'orage,the thunder storm
le tonnerre,the thunder(s?m)
l'éclair = la foudre,lighting
le soleil,the sun
chaud,hot
fraud,cold
magnifique,magnificent
épouvantable,terrible
mauvais,bad(weather)
il fait beau,it's beautiful day(weather)
le ciel est gris=il fait gris = il y a des nuages,the sky is gray(it's  cloudy)
les saisons,the seasons
l'automme,autumn
l'hiver,winter
le printemps,spring
l' été,summer
une écharpe,the scarf
un manteau,áo khoác
le givre,the frost(suong giá)
la métérologue,the meteorologist(nhà khí tu?ng h?c or ngu?i d? báo th?i ti?t)
la mauvais temps,bad weather
on ne voit rien,we see nothing
brouillard,fog
la tempéte,storm
la sêcheresse,Drought(h?n hán)
sec,dry
humide,humid
une inondation,a flood
le niveau,"level, grade"
l' écologie,ecology(h? sinh thái)
C'est du vent = il y a du vent,It's windy
Il fait bon,La température est très agréable
il fait frais,"un peu froid, mais pas trop"
il fait doux,it is mild(mát d?u)
il y a un orage,there is a storm = it's stormy
il y a un éclair,there is a flash
il y a du soleil,there is the sun = it's sunny
le ciel est plutôt dégagé,the sky is rather clear
Quel temps il fait aujourd'ui ?,(câu h?i th?i ti?t)
il fait froid >< chaud,it's cold >< hot
il fait 24,Il fait vingt-quatre
il fait -3,Il fait moins trois
