front,back
faire de la planche à voile,go sailboarding(lu?t ván)
faire de judo,t?p judo
"faire la cuisine(TH d?c bi?t ko có ""de"")",cook
faire du roller,to rollerblade(tru?t patin)
faire du skateboard,skateboarding(tru?t ván)
faire de la randonnée,go hiking
faire du shopping,go shopping
faire de l'équitation,horse riding
faire de l'escalade,rock climbing
faire du vélo,biking
faire de la voile,sailing (du thuy?n)
faire de la natation =  nager,go swimming
faire son jogging = courir,jogging
faire du sport,play sport
faire des photos,take a picture
faire du feu,make fire(nhóm l?a)
faire du bruit,make noise
faire de lit,make the bed(arrange sheets and blankets)
faire ses devoirs,do one's homework
faire de la luge,tru?t bang
faire des jeux. On va faire des jeux,play games(riêng tru?ng h?p này faire dùng cho trò 2 ngu?i)
