front,back
louer des vélos,renting bikes
Nous avons l'intention de (louer des ve´los),We intend to rent bicycles
vous voulez/ vous de´sirez/vous souhaitez/tu veux + nom/infinitif,we want
vous pouvez essayer les VTT(ve´lo tout-terrain) qui sont là,you can try the VTT(mountain bike) that are there
il existe la location a` l'heure,there is rental on hour(cho thuê theo gio`)
chèque de caution de 150 euros,deposit check of 150 euros
je vous rends la chèque quand vous venez,I return the check when you come
la location => louer,the renting  => rent
rendre la caution,return the deposit
un vélo de course,a race bike
la caution est rendue au client quand il rapporte le matériel,the deposit is returned to the customer when he returns the material.
vous de´sirez garder les ve´los combien de temps ?,you want to keep the bike for how long ?
faire des économies,save money
compte d'épargne,saving account
"quelle somme est-ce que vous pouvez mettre, tous les mois ?","how much can you put in, every month?"
le compte courant,the current account
le montant = le somme,the amount = the sum
"la che`que, le che´quier",the check(du`ng dê? thanh toa´n)
la carte bancaire = carte bleue,bank card
payer en espèces = en liquide,pay by cash
un prélèvement automatique,an automatic levy(thuê´ tu? dô?ng)
un virement,a transfer
alimenter un compte,feed an account
vous pouvez me faire un assortiment ?,can you make me an assortment? (ba?n co´ thê? la`m cho tôi 1 loa?t không ?)
Je vais prendre une petite boîte de 100 grammes de chocolats,I will take a small box of 100 grams of chocolates
paquet,package
re´fle´chir (v),reflect
cochez la bonne re´ponse,select the correct answer
