front,back
parler à quelqu'un,nói chuy?n v?i ai
parler de quelqu'un,nói chuy?n v? ai
peu importe !,Không quan tr?ng ! (sao cung dc)
pas encore,chua có(dùng d? tr? l?i cho câu h?i có hay chua)
avoir mal à + b? ph?n co th?(j'ai mal à la gorge),dau ? dâu
Je lui(COI) aimer,I love him
Je l'(COD)aimer,tôi thích cái dó
avoir beaucoup de qualités,Có nhi?u ph?m ch?t t?t
trouver + adj(Il a trouve très intéressante),th?y ai dó có tính ch?t gì dó
bien sûr,of course
il faut + vinf,c?n ph?i làm gì(Il faut manger trois fois par jour)
être à + km/phut + de + location,cách dó bao nhiêu km/phút(mon l'université est à 20 minutes de chez moi)
avant de + vinf,tru?c khi làm gì dó
être diplômé de + tên tru?ng(Je suis diplômé de Ecole Polytechnique),t?t nghi?p tru?ng nào dó
faire le gateau,làm bánh
avoir peur de quelque chose,be afraid of something
Je n'ai peur de rien,I'm not scared of anything
etudiant en + subject . Ex : etudiant en pharmacie,Sinh viên ngành nào
avoir faim(j'ai toujours faim),hungry
Fais quelque chose!,do something !
être en form,kh?e m?nh
apporter qch à quelqu'un,bring something to someone
être douer en + subjet. Je suis douée en math.,I'm good at math
le style vestimentaire,phong cách an m?c
au mois. Ils coûtent au mois 200 euros,at least.
travail dans la domain de + subjet. Il traivail dans la domain de mécanique,làm trong linh v?c gì
parles - moi !,Speak to me !
"être à. Oui, Il est à moi.","c?a ai dó. Yes, It's mine"
vide de + Nom(Rue vide voitures),v?ng cái gì dó
trouve que + phrase(Je trouver que ce pantalon est cher joli),Ðua ra ý ki?n v? cái gì
j'estudie à l'école,I study at school
assiste à. J'assiste à un mariage à l'église.,attend
je demande de l'argent à la banque,I ask the bank for money
je consulte un médecine à l'hôpital,I consult a medicine at the hospital(tôi tu v?n 1 lo?i thu?c t?i b?nh vi?n)
je regarde des tableaux,xem 1 b?c tranh
des styles de vie. Ils ont des styles de vie différents,lifestyles
avoir horeur + subject. il a horreur des discothèque,hate something
être passionner par. Il est passionné par la littérature américaine.,be passionate about. He is passionate about American literature.
la vie en rose,Life in pink
communiquer + avec + noun. Commmuniquer avec mes amis.,communicate with. Communicate with my friends.
justifier ton choix,justify your choice
localiser un lieu,to find a location
les hoiraires de travail. Que sont vos hoiraires de travail ?,the work schedule. What is your work schedule ?
la ville de résidence,the city of residence
exprimer ses goût,to express one's taste
nommer un lieu,to name a place
attraper le bus. Il veut attraper le bus,catch the bus
passez avec. Ex : Vous avez passée avec elle,spend with.Ex : You spent with her
faire affaire avec sb. Ex : Faites une bonne affaire avec RED by SFR,Have a deal with sb
enseignante + cours,teacher of môn h?c nào
"Afin de. Afin de répondre à l’ensemble de vos questions, une page intranet est disponible dès à présent ici","in order to. In order to answer all your questions, an intranet page is available now here"
pour l'instant,for the moment
conformément à,in accordance with
faire partir de. Ex : ALTOM fait partir des entreprises innovantes qui investissent dans la Data Science.,to be part of
l'avenir de. Ex : l'avenir de la mobilité,the future of
assister à,attend
prendre connaissance de,become acquainted with(làm quen v?i)
en fonction,according to
en complément,in addition
dans le monde entirer,in the whole world
METTRE EN PLACE la télétransmission,implement
être soumise à,to be subject to
selon les conditions,according to the conditions
décrite dans,described in
profiter pleinement des + noun,take full advantage of
la mise à jour,the update
faire de virement,transfer
cocher si sans objet,check if not applicable
l'accuiel de + noun,reception of (noi ti?p nh?n)
aller au lit,go to bed
aller en boite,clubbing
avoir accoucher(Elle a accouché d'un garçon),birth(sinh)
être seul,be alone
Elle peut l'emmener !,She can take him!
J'éteins l'allumette,I blow out the match
Assez intéressant,Pretty interesting
Je vous la laisse,I am leaving it to you
Il essaie d'y aller,He tries to go
Depuis le début,From the beginning
J'y vais,I go there
