front,back
jouer au volleyball,play volleyball
jouer au basketball,play basketball
jouer aux jeux de société,play board games
jouer au tennis de table,play table tennis
jouer aux échecs,play chess
jouer au football,play soccer
jouer au rugby,play rugby (bóng b?u d?c)
jouer au badminton,play badminton
jouer au handball,play handball(bóng ném)
jouer aux jeux vidéo,play video games
jouer au baseball,play baseball(bóng chày)
jouer au tennis,play tennis
jouer au cartes. Ex : Les enfants jouent au cartes.,play cards
