front,back
rectangle(adj),hình ch? nh?t
mince,m?ng
Quel matériau pour construire sa maison?,What material to build your house?
lit,giu?ng
chamber à coucher,phòng ng?
chaise,gh? t?a
fauteuil,armchair
armoire,cabinet(t? qu?n áo)
lampe,lamp
"""allumer"" un chambre",th?p sáng cho can phòng
tapis,cái th?m
la machine à laver,washing machine
Il est géré par l'électricite,it is runned by electricity
l'estagère,cái giá sách
matelas,mattress(n?m)
la lustre,the chandelier(dèn trùm)
la chaise,gh? t?a
tabouret,stool(gh? d?u)
le bureau,bàn làm vi?c
table de nuit,bàn d? dèn ng?
le climatiseur,The air conditioner
la porte,door
le verre,glass
J'ai une assiette,I have a plate
canapé,couch
La cuillère de ma mère n'est pas grande,My mother's spoon is not big
"De nos jours, les cusines sont plus grandes","Nowadays, kitchens are larger"
Le linge,The laundry
le oreiller,pillow
le toit,roof
Les couteaux et les fourchettes sont des couverts,knives and forks are cutlery
Couloir,Corridor/aisle
fenêtre,window
le chauffage,the heating
la piscine,pool
baignoire,bathtub(b?n t?m)
cuillère,spoon
miroir,mirror
l'horloge,the clock
un trousse,h?p bút
un scooter,a scooter(xe tay ga)
la télé,ti vi
la cheminée,?ng khói(the fireplace)
les tâches me´nage`res,household task
des savons,soaps
des gels pour le bain,bath gels
la douche,shower(vo`i hoa sen)
des shampoings,shampoos(dâ`u gô?i)
elle a (renonce) de rester dormir chez eux,she refused sleeping at home
les enfants (s'amusent à) s'arroser dans le jardin,children (have fun) to play with water in the garden
une replat,a flat
le chalet,nhà g?
hébergement,accomodation
se baigner = aller dans l'eau. tu te baigneras?,take a bath. Will you take a bath?
l'armoire,t? qu?n áo
faire le ménage. Nous allons faire le ménage pendant ce temps-là,do the housework
