front,back
deviner.  Devine comment il s'appelle.,guess
la campagne,countryside
loin. loin de la ville,far
faire des feux,make fire
regaler .je vais me régaler !,thi?t dãi.Tôi s? t?n hu?ng nó
prendre des cours de + môn h?c,tham gia l?p h?c nào
faire de la luge,tru?t bang
la premier fois,the first time
peut être,may be
même. Ils vont meme peut etre essayer de monter sur des skis pour la premiere fois,even. they may even be trying to get on skis for the first time
rires,laugh
très  drôle,very funny
la plage,the beach
monter,"climb, ascend"
cocher. Coche les bonnes reponses,"check, tick"
