front,back
entendre/e´coutez,listen
dit,speak
lire,read
"écrire, rédiger. Nous rédigeons une petite histoire.",write
ramasser. The children collect seashells.,pick up
emmener =  amener. J'emmènerai les enfants dans la forêt.,"bring, take away."
casser. C'est toi qui a cassé la plat noir?,break. Did you break the black dish?
ranger. Òu est-ce que tu as rangé la paquet de bonbons?,"ranger, put away(c?t di)"
recoller. recoller un objet cassé,fix
jeter. jeter un objet à la poubelle,throw away. throw an object into the trash
hors(v). Le directeur doit hors de l'école si celui-ci présente un caractère dangereux.,"get out, leave. The director must leave the school if it is dangerous."
poursuivre. ce n'est pas lui qui sera poursuivi mais l'Etat,"continue, pursue"
agir. Il s'agira dons,"act, work. So it will work"
brutaliser. Les populations brutalisées par des soldats anglais.,"brutalize, bully. Populations brutalized by soldiers."
"voler, dévaliser. Les cambrioleurs ont dévalisé la bijouterie.",steal. K? tr?m dã cu?p c?a hàng trang s?c.
écouler. Des produits faciles à écouler.,sell continously. Easy to sell products.
dévoiler. Vous cherchez plutôt à dévoiler les abus de la haute société.,"ti?t l?, v?ch tr?n. Thay vào dó, b?n tìm cách v?ch tr?n s? l?m d?ng c?a t?ng l?p xã h?i cao."
détourner(v). C'est un outil de l'aristocratie pour détourner les yeux du peuple du problème principal.,chuy?n hu?ng. Nó là m?t công c? c?a t?ng l?p quý t?c d? dánh l?c hu?ng con ngu?i kh?i v?n d? chính.
éviter. Cette erreur courante pourrait-elle s’éviter?,avoid. Could this common mistake be avoided?
détacher. Est ce que tu détache les papiers ?,detach(tách ra)
deviner. Chaque binôme doit deviner à quel personnage correspond votre agenda,guess. Each pair must guess which character corresponds to your agenda.
raconter. raconter les histoires,tell
rappeler. Nous vous rappelons que la visite médicale a un caractère obligatoire à l'embauche.,"recall, remind. We remind you that the medical examination is compulsory upon hiring."
interdit. l'événement est interdit,forbidden. the event is forbidden.
rugir. vous rugissez,roar(g?m lên)
rougir. Vous rougissez,"blush, go red(d? m?t)"
mépriser. Qui est en dessous a tendance à mépriser celui qui est au-dessus.,despise(coi thu?ng).Those who are above tend to despise those who are below.
convoiter. Kien convoite un poste de chercheur,covet(thèm mu?n)
remarquer. remarquez ça,notice. notice that.
céder. Je lui céderai bien mon appartement.,"transfer, give away. I will give him my appartement."
compter.Je ne compte pas trop dessus,count. I don't count too much on it.
retirer. elle retirait ses dessous,"remove, take off.She was taking off her underwear"
bref !,In short
taper. Ils se sont tapés dessus.,"hit, punch. They hit each other."
