front,back
"Vous êtes ""né(e)"" quand? ou, Quelle est ta/votre date de nessance?",What is your birthday?
Je suis né le treize avril,I was born on 13/4
Quelle est ta/votre ville de naissance?,What is your city of birth?
Quelle est ta/votre pay de naissance?,What is your country of birth?
Je suis né(e) à Hanoi,I was born in Hanoi
Je suis né(e) au Vietnam,I was born in Vietnam
Quelle votre/ta nationalité?,What is your nationality?
C'est votre prenom?,is it your name?
Vous êtes célibataire?marié(e)?divorcée?,"oui, je suis célibataire"
Vous êtes étudiant?,"Non, je ne suis pas étudiant"
Qu'est ce que vous aimez?,What do you like?
J'aime le cinéma,I like the cinema
Quelle languge parle-t-elle?,which language does she speak?
ça fait du bien,this is good
ç'est pour ton bien,it's good for you
C'est bien toi?,is that really you?
C'est bien un restaurant ici?,Is it a restaurant here?
ça a l'air bien,it looks nice
avoir l'air,look like
elle a l'air plus jeune,she looks younger
